file;threshold;edge_ratio
01.png;25;0.1114416014447741
01.png;35;0.04302112319029106
01.png;45;0.01450138578774401
01.png;55;0.0061279492597697
02.png;25;0.05509341772151899
02.png;35;0.019584472573839662
02.png;45;0.00868886075949367
02.png;55;0.0037071729957805907
